year,hpc_release,pdo_nov_jan,gauge_spring
1980,19157158,0.74666667,21.92479
1981,55604470,0.4,21.77478
1982,73211645,-0.03333333,21.83144
1983,111945525,1.42666667,21.79946
1984,158880431,0.63,21.7664
1985,180073448,0.20333333,21.98582
1986,228419049,1.57333333,21.88712
1987,234056193,0.69,21.89542
1988,304761817,-0.51666667,21.93026
1989,283731827,-0.42666667,21.9075
1990,250159394,-1.96,21.76923
1991,390626217,0.1,22.03473
1992,408045941,0.42333333,21.93582
1993,456090406,0.84333333,21.94166
1994,363062118,-1.69,21.94299
1995,466000829,0.44,21.91926
1996,507428592,0.26333333,21.74514
1997,453136388,1.17,21.91924
1998,446299979,-0.91,21.794
1999,437933127,-2.01666667,21.95409
2000,475377546,-0.12,21.97065
2001,430965047,-0.83333333,21.9175
2002,405618779,1.41666667,21.97129
2003,433170025,-0.34,21.75217
2004,510567483,-0.70333333,21.82783
2005,515250806,-0.46666667,21.8316
2006,457053592,-0.66666667,21.62256
2007,539456935,-1.25666667,21.8464
2008,481554045,-1.52666667,21.8629
2009,428386603,-0.48666667,21.67197
2010,522111636,-1.76666667,21.53306
2011,499243141,-2.33333333,21.65442
2012,572290369,-0.92666667,21.7903
2013,575384583,-0.97666667,21.7721
2014,588710983,1.59333333,21.6876
2015,570392138,0.39,21.39657
2016,627391229,0.50333333,21.6045
2017,570651153,-0.07333333,21.7402
2018,637857063,-0.41333333,21.6266
2019,577980797,-0.62666667,21.4515
